adm3_pcode,adm1_name,adm2_name,adm3_name,flood_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0101301,Koshi,Taplejung,Phungling,1,125.0904565,87.71192263,27.38089662,159.2533486,548.3089701,21658.45541,1804.871284,2126.188172,1525.204448,1773.261627,2131.870922,177.6559102,1840.70472,538.7490234,3792.382568,3253.633545,657.2129122,26.39537868,65.08609294,287.7065856,-0.231552935,0.073927294,0.915902714,43.88842258,0.350853485,22,923.2,923.2,280.7,2078,1,83.84658232,0,15.07121827,0.143232275,0.350123339,0.127317578,0,0.461526219,0,0,83.84658232,2,13042.99261,104.2684868,157.1444893,1454.526367,316.2485037,21.95717367,422,2.528158523,0.175530366,8122,0.472886837,64.92901399,0.378035903,59,0.471658683,0.489154525
NP0101401,Koshi,Taplejung,Phaktanlung,1,1851.011109,87.89689923,27.70286473,117.2820571,509.7975355,15950.35977,1329.196647,1552.11811,1122.026462,1244.126791,1541.675388,128.472949,4538.562634,837.5011597,8553.610352,7716.109192,1265.207133,31.41478906,81.0206177,189.0798398,-0.014891871,-0.093182996,0.523145612,601.7855298,0.325111787,283,951.9,951.9,471.2,746.3,1,23.82485964,0,14.69931861,0.009186061,0,19.46472282,30.78249029,0.41229203,0,10.80713054,30.78249029,5,1670.268396,0.902354604,185.5853774,1506.932007,452.4276764,0,447,0.244421913,0,3419,0.187706418,1.847098585,0.01014075,57,0.03079398,6.074782832
NP0101402,Koshi,Taplejung,Mikwakhola,0,441.3382794,87.62769468,27.58343189,129.3589997,540.1032837,17592.82396,1466.068664,1756.251047,1204.285291,1372.134634,1687.618981,140.6349151,3530.944187,659.2775879,5771.32666,5112.049072,1075.928525,30.16302216,73.5132649,209.5848798,-0.087606208,-0.154309618,1.32942356,146.4823056,0.331904828,77,935.9,935.9,339.8,339.8,1,53.4330787,0,16.71563531,0.004520183,0,9.19405144,1.857795055,0.650906297,0,18.14401302,53.4330787,4,0,0,0,0,108.90442,0,94,0.246759516,0,2024,0.106019664,4.586051323,0.024022313,45,0.101962604,5.773311106
NP0101403,Koshi,Taplejung,Sirijanga,1,479.109261,87.94627072,27.47591261,128.2714092,480.1829071,17444.91165,1453.742638,1689.29679,1225.76207,1394.973245,1716.842016,143.070168,3383.860146,748.800293,8494.299805,7745.499512,1417.815507,31.77000398,74.28066186,235.9857099,-0.118256332,-0.079807823,0.208007576,177.8882049,0.371289431,71,947.3,947.3,168.6,168.7,1,56.72677128,0,12.88731953,0.004178768,0,8.81302104,12.00142078,0.142078101,0,9.425210505,56.72677128,5,488.9375681,1.020513707,4.040806348,8.735971451,233.1175348,6.200116977,198,0.486564452,0.012940925,5554,0.285749938,11.59234532,0.059641915,78,0.162802113,2.884126805
NP0101404,Koshi,Taplejung,Meringden,1,209.5804126,87.54492331,27.4653726,147.7313612,523.9359779,20091.46512,1674.28876,1993.669179,1360.730524,1507.225117,1960.952879,163.4127399,2633.888304,634.3582764,4687.342773,4052.984497,938.0144367,30.64413026,70.41768303,100.8794552,0.296672609,-0.057019823,0.784910991,78.8378063,0.376169726,37,935.7,935.7,146.3,146.4,1,77.38894444,0,17.81174118,0.019044898,0.023806123,0.219016331,0.004761225,0.133314288,0,4.399371518,77.38894444,2,0,0,0,0,125.3155023,0,140,0.597935183,0,2889,0.155671988,13.78468515,0.074277928,59,0.281514858,3.365592096
NP0101405,Koshi,Taplejung,Maiwakhola,1,137.3407459,87.51318682,27.37356638,139.3120701,471.6578598,18946.44153,1578.870128,1883.341166,1260.060862,1403.606483,1899.018209,158.2515174,2287.853343,700.2410278,4436.004395,3735.763367,695.7810399,27.83093948,63.42896406,52.53122495,0.324643809,0.248826979,0.867026281,37.68841693,0.274415409,13,922.1,922.1,198.1,198.1,1,79.49317169,0,19.85686117,0.240999051,0,0.175272037,0,0,0,0.233696049,79.49317169,2,0,0,0,0,120.2755342,0,89,0.875745456,0,2882,0.15864626,20.98430426,0.115512887,44,0.320371057,0.437347165
NP0101406,Koshi,Taplejung,Aatharai Tribeni,1,88.50217603,87.61926369,27.30950115,137.9744797,495.6617228,18764.52924,1563.71077,1823.705425,1264.808348,1487.78948,1883.686181,156.9738484,1532.070336,495,2938.453613,2443.453613,541.1211315,24.75162846,64.33494783,57.02921806,0.377296563,0.244745798,1.131372183,17.54556651,0.198250114,10,909.4,909.4,112.7,2969.9,1,82.61211644,0,15.5220861,1.449926942,0,0.056198719,0,0.359671799,0,0,82.61211644,2,0,0,0,0,161.76867,0,109,1.827849633,0,4806,0.265353557,54.30374953,0.299827155,55,0.621453646,0.1871472
NP0101407,Koshi,Taplejung,Pathivara Yangwarak,0,92.40500433,87.75239723,27.31524053,135.7122299,465.3353475,18456.86327,1538.071939,1812.718651,1270.812675,1519.817301,1841.229588,153.435799,1480.180755,511.1878662,2844.475342,2333.287476,510.0485657,30.06965055,68.20212686,192.8564557,-0.054452259,-0.238584127,1.158218566,36.96965628,0.400082837,15,916.8,916.8,106.5,106.6,1,75.67333694,0,23.69929692,0.194699838,0.010816658,0.248783126,0,0.173066522,0,0,75.67333694,2,2165.923442,23.43946042,25.78480288,46.07123947,178.0622891,9.024655754,211,1.926976687,0.097664145,4957,0.227887112,53.6442808,0.246617716,65,0.703425106,0.079655181
NP0101408,Koshi,Taplejung,Sidingba,1,205.1467138,87.94162809,27.35221122,130.2440353,462.4040782,17713.1888,1476.099067,1716.015099,1250.998622,1470.303001,1758.4684,146.5390334,2388.020712,712.6199951,4651.896973,3939.276978,813.9529863,33.03145939,74.0386038,241.8135803,-0.158124417,-0.084737321,1.54854775,67.85654688,0.330770821,36,934.7,934.7,112.7,112.8,1,78.17340477,0,20.69654165,0.048709206,0,0.32148076,0,0.07793473,0,0.681928885,78.17340477,2,6.906256199,0.033664961,3.453128099,3.457484245,140.3450067,0,167,0.68412018,0,3699,0.195404195,18.03099807,0.095250951,61,0.29734817,2.764255343
NP0102301,Koshi,Panchthar,Phidim,1,191.7389863,87.79926982,27.11684446,147.882125,552.090223,20111.969,1675.997416,2018.674517,1371.456798,1688.093946,1974.08724,164.50727,1640.244863,408.5,3193.041748,2784.541748,584.0802393,27.74366454,69.00923677,317.3237001,-0.186906416,0.202716726,0.960126067,77.29921929,0.403148159,28,894.1,894.1,111.2,111.2,1,80.82320905,0,15.38542103,3.414327608,0.308965228,0.015710096,0,0.052366988,0,0,80.82320905,2,14748.14122,76.91780115,254.2782969,634.430481,588.6967748,70.07828408,629,3.070302948,0.365487924,20731,0.942336544,108.120943,0.491468408,20,0.104308468,2.584149556
