adm3_pcode,adm1_name,adm2_name,adm3_name,landslide_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0101301,Koshi,Taplejung,Phungling,1,125.09045649941793,87.71192262936205,27.380896615570094,159.25334860793515,548.3089701334635,21658.45541067918,1804.871284223265,2126.1881721417108,1525.2044476595793,1773.2616271972656,2131.8709222078323,177.65591018398604,1840.7047202504227,538.7490234375,3792.382568359375,3253.633544921875,657.2129121934006,26.39537867668738,65.08609293646444,287.7065855551862,-0.2315529350582781,0.0739272943545939,0.9159027139567536,43.88842258328688,0.350853484841916,22,923.2,923.2,280.7,2078.0,1,83.8465823187714,0.0,15.071218270072412,0.143232275005968,0.3501233389034773,0.1273175777830826,0.0,0.4615262194636747,0.0,0.0,83.8465823187714,2,13042.992614746094,104.26848681943044,157.14448933429028,1454.5263671875,316.2485037197426,21.957173672835157,422,2.5281585227983734,0.1755303664827326,8122,0.4728868370168997,64.92901398947085,0.3780359031778736,59,0.4716586832527432,0.4891545245052686
NP0101401,Koshi,Taplejung,Phaktanlung,1,1851.0111092024893,87.89689922660348,27.702864728045157,117.28205711787685,509.797535455049,15950.359768031249,1329.196647335937,1552.11811011229,1122.026462156381,1244.126790516412,1541.6753882685705,128.47294902238087,4538.562634365287,837.5011596679688,8553.6103515625,7716.109191894531,1265.2071334036275,31.414789058761443,81.02061770028105,189.07983976199384,-0.0148918708671393,-0.0931829961292184,0.5231456120984765,601.7855297681763,0.3251117871612647,283,951.9,951.9,471.2,746.3,1,23.82485964239205,0.0,14.699318610419157,0.0091860609630234,0.0,19.46472282411936,30.782490287091424,0.4122920302815798,0.0,10.807130544733416,30.782490287091424,5,1670.2683963775637,0.9023546039641008,185.5853773752848,1506.9320068359375,452.4276764337949,0.0,447,0.2444219130747,0.0,3419,0.1877064180458971,1.8470985846611587,0.0101407504856505,57,0.0307939804988844,6.074782831937264
NP0101402,Koshi,Taplejung,Mikwakhola,1,441.3382793643361,87.62769467553008,27.58343189318288,129.35899972144296,540.1032836914062,17592.823962116243,1466.068663509687,1756.2510467529298,1204.28529140588,1372.134634399414,1687.6189812342327,140.63491510285272,3530.944186597424,659.277587890625,5771.32666015625,5112.049072265625,1075.9285249502389,30.163022161872185,73.51326489919609,209.58487983494305,-0.0876062081140327,-0.1543096176568192,1.329423559771713,146.48230558276566,0.3319048277293,77,935.9,935.9,339.8,339.8,1,53.43307869637933,0.0,16.715635311666592,0.0045201826153776,0.0,9.194051439678164,1.857795054920219,0.6509062966143832,0.0,18.14401301812593,53.43307869637933,4,0.0,0.0,0.0,0.0,108.9044200493697,0.0,94,0.2467595156400795,0.0,2024,0.1060196638524416,4.586051323069432,0.0240223132253886,45,0.1019626035267413,5.773311105901381
NP0101403,Koshi,Taplejung,Sirijanga,1,479.10926096146727,87.94627072341655,27.475912608159803,128.27140920740715,480.1829071044922,17444.911652207375,1453.7426376839478,1689.2967898580762,1225.7620703957298,1394.9732445610894,1716.8420159949196,143.07016799957665,3383.8601459336764,748.80029296875,8494.2998046875,7745.49951171875,1417.8155067935818,31.770003979574035,74.28066185956992,235.9857098548352,-0.1182563316342182,-0.0798078231885811,0.2080075763133629,177.88820492676976,0.3712894310783872,71,947.3,947.3,168.6,168.7,1,56.72677127515095,0.0,12.88731952947076,0.0041787676814107,0.0,8.813021040095276,12.00142078101168,0.1420781011679655,0.0,9.425210505421951,56.72677127515095,5,488.93756806850433,1.0205137072226778,4.040806347673589,8.735971450805664,233.1175348404676,6.200116977346046,198,0.4865644516506565,0.0129409249257753,5554,0.2857499380127618,11.59234532192999,0.0596419149651426,78,0.1628021129115122,2.8841268046144606
NP0101404,Koshi,Taplejung,Meringden,1,209.5804125564137,87.54492331397948,27.46537260450805,147.73136120508698,523.935977935791,20091.46512389183,1674.2887603243191,1993.6691788434985,1360.7305237163198,1507.2251167297363,1960.9528788924215,163.41273990770182,2633.8883044572644,634.3582763671875,4687.3427734375,4052.984497070313,938.0144366608628,30.64413025942995,70.41768302989342,100.87945519971078,0.29667260857357,-0.05701982314338,0.7849109906642644,78.83780630262903,0.3761697256961354,37,935.7,935.7,146.3,146.4,1,77.38894443650906,0.0,17.811741179831454,0.019044898347855,0.0238061229348188,0.2190163310003332,0.0047612245869637,0.1333142884349854,0.0,4.399371518354521,77.38894443650906,2,0.0,0.0,0.0,0.0,125.31550232605346,0.0,140,0.5979351829566693,0.0,2889,0.155671988084958,13.784685146673022,0.0742779280688051,59,0.2815148576163753,3.3655920963658854
NP0101405,Koshi,Taplejung,Maiwakhola,1,137.34074594983048,87.51318681757327,27.373566379487773,139.31207010500572,471.6578598022461,18946.441534280777,1578.8701278567314,1883.341165781021,1260.0608624545011,1403.6064834594729,1899.0182085037231,158.25151737531027,2287.853342903363,700.2410278320312,4436.00439453125,3735.7633666992183,695.7810398767549,27.830939477786007,63.42896405503609,52.53122495495017,0.3246438094184225,0.2488269789924901,0.8670262812524464,37.68841692679845,0.2744154086695127,13,922.1,922.1,198.1,198.1,1,79.49317169356605,0.0,19.85686116994085,0.2409990506098006,0.0,0.1752720368071277,0.0,0.0,0.0,0.2336960490761702,79.49317169356605,2,0.0,0.0,0.0,0.0,120.2755342065668,0.0,89,0.8757454561263454,0.0,2882,0.1586462601073971,20.98430425776756,0.1155128865874584,44,0.320371057370497,0.4373471649020129
NP0101406,Koshi,Taplejung,Aatharai Tribeni,1,88.50217602702566,87.6192636948854,27.30950114819288,137.97447973431326,495.6617228190104,18764.529243866604,1563.710770322217,1823.705424626668,1264.8083477598248,1487.7894795735676,1883.6861805915837,156.97384838263193,1532.070336068273,495.0,2938.45361328125,2443.45361328125,541.1211314931343,24.751628459539344,64.33494782722981,57.0292180608804,0.3772965628085764,0.2447457982974742,1.1313721831181796,17.545566514291423,0.198250114312823,10,909.4,909.4,112.7,2969.9,1,82.6121164437451,0.0,15.522086096437002,1.44992694166573,0.0,0.0561987186692143,0.0,0.3596717994829718,0.0,0.0,82.6121164437451,2,0.0,0.0,0.0,0.0,161.768669964451,0.0,109,1.8278496329293887,0.0,4806,0.2653535568695785,54.3037495319031,0.2998271554233291,55,0.6214536463284791,0.1871471995988592
NP0101407,Koshi,Taplejung,Pathivara Yangwarak,1,92.4050043297168,87.75239723183907,27.315240533874537,135.71222994783346,465.3353474934896,18456.86327290535,1538.0719394087791,1812.718650976817,1270.8126747824929,1519.8173014322915,1841.2295883496604,153.43579902913837,1480.180755442645,511.1878662109375,2844.475341796875,2333.287475585937,510.04856565799616,30.06965055389269,68.20212686206068,192.85645566225105,-0.0544522594163744,-0.238584126704926,1.1582185660578015,36.96965627916839,0.4000828369343976,15,916.8,916.8,106.5,106.6,1,75.67333693888588,0.0,23.699296917252568,0.1946998377501352,0.0108166576527852,0.2487831260140616,0.0,0.1730665224445646,0.0,0.0,75.67333693888588,2,2165.923441886902,23.4394604231446,25.784802879605973,46.07123947143555,178.0622890954844,9.024655753794406,211,1.9269766868916305,0.0976641451321499,4957,0.2278871115880872,53.64428080445276,0.2466177164766393,65,0.703425106372691,0.0796551805606556
NP0101408,Koshi,Taplejung,Sidingba,1,205.1467137835824,87.94162809314564,27.352211220138383,130.24403527992612,462.4040781656901,17713.188798069954,1476.0990665058296,1716.0150989691415,1250.9986218539152,1470.3030014038086,1758.468400478363,146.53903337319693,2388.0207121346066,712.6199951171875,4651.89697265625,3939.2769775390634,813.9529862713348,33.031459390649005,74.0386038005079,241.8135802801234,-0.1581244169662986,-0.0847373205197939,1.5485477504642786,67.85654687977504,0.3307708206886495,36,934.7,934.7,112.7,112.8,1,78.17340477350218,0.0,20.696541646371163,0.0487092060399415,0.0,0.3214807598636142,0.0,0.0779347296639064,0.0,0.6819288845591817,78.17340477350218,2,6.906256198883057,0.0336649613903576,3.4531280994415283,3.457484245300293,140.34500667852774,0.0,167,0.6841201796026983,0.0,3699,0.1954041952078647,18.030998068544378,0.0952509506996074,61,0.2973481703652898,2.764255342512487
NP0102301,Koshi,Panchthar,Phidim,1,191.73898629558423,87.79926982495999,27.116844462617387,147.88212497494803,552.0902230398996,20111.96899659293,1675.9974163827444,2018.6745166437968,1371.45679800851,1688.0939461844307,1974.087239946638,164.50726999555317,1640.2448629538594,408.5,3193.041748046875,2784.541748046875,584.0802393335566,27.743664544830487,69.00923676963056,317.32370012654906,-0.1869064155165472,0.2027167258426363,0.9601260672806692,77.29921929355636,0.4031481587912023,28,894.1,894.1,111.2,111.2,1,80.8232090490155,0.0,15.385421030582322,3.414327607875995,0.308965228320067,0.0157100963552576,0.0,0.0523669878508588,0.0,0.0,80.8232090490155,2,14748.141220092772,76.91780114742593,254.27829689815127,634.4304809570312,588.6967748049917,70.07828408058421,629,3.070302947661665,0.3654879241540985,20731,0.942336543696405,108.12094295753266,0.4914684081221238,20,0.1043084684361899,2.584149556049832
